Column,Mean_Stuttgart,Std_Stuttgart,Min_Stuttgart,Max_Stuttgart,Mode_Stuttgart,Frequency_Stuttgart,Mean_Mainz,Std_Mainz,Min_Mainz,Max_Mainz,Mode_Mainz,Frequency_Mainz,variable,question,options,variable_short,summary,Mean_Diff,Std_Diff,Mode_Diff
Q4C,1.47,0.6396092557178953,1.0,3.0,1.0,61,1.3,0.6396092557178953,1.0,3.0,1.0,61,Q4C,Tankstelle,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q4C,Kauf an Tankstelle,-0.16999999999999993,0.0,0.0
Q4D,1.99,0.6556675987114203,1.0,3.0,2.0,57,2.0,0.6556675987114203,1.0,3.0,2.0,57,Q4D,Gastronomie/Hotellerie,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q4D,Kauf in Gastronomie,0.010000000000000009,0.0,0.0
Q4E,1.67,0.6173329733620261,1.0,3.0,2.0,51,1.67,0.6173329733620261,1.0,3.0,2.0,51,Q4E,Kiosk/Späti/Büdchen/24×7 Store,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q4E,Kiosk-Kauf,0.0,0.0,0.0
Q4F,1.26,0.5219195340279955,1.0,3.0,1.0,78,1.26,0.5219195340279955,1.0,3.0,1.0,78,Q4F,direkt in der Brauerei,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q4F,Kauf direkt Brauerei,0.0,0.0,0.0
Q4G,1.09,0.3192177939902473,1.0,3.0,1.0,92,1.09,0.3192177939902473,1.0,3.0,1.0,92,Q4G,Mensa/Kantine/Verpflegungsautomat,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q4G,Kantinen-Kauf,0.0,0.0,0.0
Q4H,1.13,0.4160528812542944,1.0,3.0,1.0,90,1.5,0.4160528812542944,1.0,3.0,1.0,80,Q4H,Lieferservice/Online-Lebensmittelhandel,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q4H,Online-Lieferservice,0.3700000000000001,0.0,0.0
Q5,2.2,1.2328828005937953,1.0,5.0,1.0,41,2.5,1.2328828005937953,1.0,5.0,1.0,41,Q5,"Wie wichtig ist Ihnen, dass die von Ihnen konsumierten Biere bzw. bierhaltigen Getränke alkoholfrei sind?","['völlig unwichtig(1)', 'eher unwichtig(2)', 'indifferent(3)', 'eher wichtig(4)', 'äußerst wichtig(5)', 'keine Angabe(-99)']",Q5,Alkoholfrei Wichtigkeit,0.2999999999999998,0.0,0.0
Q6A,3.02,1.3264991519032343,1.0,5.0,2.0,24,3.02,1.3264991519032343,1.0,5.0,2.0,24,Q6A,Ich besitze ein großes Interesse an Bier oder bierhaltigen Getränken.,"['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q6A,Interesse an Bier,0.0,0.0,0.0
Q6B,2.44,1.2515590277729614,1.0,5.0,2.0,34,2.44,1.2515590277729614,1.0,5.0,2.0,34,Q6B,Bier und bierhaltige Getränke spielen eine große Rolle in meinem Leben.,"['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q6B,Bierrolle im Leben,0.0,0.0,0.0
Q6C,3.65,1.1863810517704674,1.0,5.0,5.0,31,3.65,1.1863810517704674,1.0,5.0,5.0,31,Q6C,Es macht mir großen Spaß ein Bier oder bierhaltiges Getränk zu konsumieren.,"['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q6C,Spaß am Konsum,0.0,0.0,0.0
Q6D,2.56,1.290891165048394,1.0,5.0,2.0,32,2.56,1.290891165048394,1.0,5.0,2.0,32,Q6D,Der Konsum von Bier oder bierhaltigen Getränken ist sehr wichtig für mich.,"['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q6D,Konsumwichtigkeit,0.0,0.0,0.0
Q6E,2.3,1.1,1.0,5.0,2.0,31,2.3,1.1,1.0,5.0,2.0,31,Q6E,Der Konsum von Bier oder bierhaltigen Getränken ist sehr vorteilhaft für mich.,"['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q6E,Konsumvorteil,0.0,0.0,0.0
Q6F,2.31,1.2057777573002415,1.0,5.0,2.0,32,2.31,1.2057777573002415,1.0,5.0,2.0,32,Q6F,Auf den Konsum von Bier oder bierhaltigen Getränken kann ich auf keinen Fall verzichten.,"['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q6F,Unverzichtbarer Konsum,0.0,0.0,0.0
Q7A,3.55,1.0136567466356647,1.0,5.0,4.0,35,3.55,1.0136567466356647,1.0,5.0,4.0,35,Q7A,Gesunde Ernährung ist mir sehr wichtig.,"['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q7A,Gesunde Ernährung,0.0,0.0,0.0
Q7B,2.79,1.1941105476462386,1.0,5.0,3.0,28,3.5,1.1941105476462386,1.0,5.0,3.0,28,Q7B,"Mir ist es sehr wichtig, dass Getränke umweltfreundlich hergestellt und vertrieben werden.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q7B,Umweltfreundliche Getränke,0.71,0.0,0.0
Q7C,3.64,1.034601372510205,1.0,5.0,4.0,35,3.64,1.034601372510205,1.0,5.0,4.0,35,Q7C,Ich probiere sehr gerne neue Produkte oder Geschmacksrichtungen aus.,"['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q7C,Neugier auf Neues,0.0,0.0,0.0
Q7D,2.7,1.1445523142259597,1.0,5.0,2.0,27,3.0,1.1445523142259597,1.0,5.0,2.0,27,Q7D,"Für biologisch produzierte Getränke bin ich bereit, einen adäquaten Mehrpreis zu zahlen.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q7D,Bio-Mehrpreis Bereitschaft,0.2999999999999998,0.0,0.0
Q7E,2.53,1.3817018491700734,1.0,5.0,1.0,31,3.0,1.3817018491700734,1.0,5.0,1.0,31,Q7E,"Mir ist es sehr wichtig, dass bei der Herstellung von Getränken keine Inhaltsstoffe tierischen Ursprungs verwendet werden.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q7E,Vegane Inhaltsstoffe wichtig,0.4700000000000002,0.0,0.0
Q7F,2.06,1.018037327409953,1.0,5.0,2.0,36,2.06,1.018037327409953,1.0,5.0,2.0,36,Q7F,"Mir ist es sehr wichtig, beim Konsum von Getränken völlig auf Alkohol zu verzichten.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']",Q7F,Alkoholverzicht Wunsch,0.0,0.0,0.0
Q8A,4.44,0.8979977728257459,1.0,5.0,5.0,64,4.44,0.8979977728257459,1.0,5.0,5.0,64,Q8A,Geschmack des Getränks,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8A,Einfluss Geschmack,0.0,0.0,0.0
Q8B,3.55,1.0331989159885913,1.0,5.0,4.0,33,3.55,1.0331989159885913,1.0,5.0,4.0,33,Q8B,Geruch/Aroma des Getränks,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8B,Einfluss Aroma,0.0,0.0,0.0
Q8C,3.6,1.0583005244258363,1.0,5.0,4.0,35,3.6,1.0583005244258363,1.0,5.0,4.0,35,Q8C,Kaufpreis des Getränks,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8C,Einfluss Preis,0.0,0.0,0.0
Q8D,2.63,1.0065286881157438,1.0,5.0,2.0,39,2.63,1.0065286881157438,1.0,5.0,2.0,39,Q8D,Bekanntheit der Marke,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8D,Einfluss Markenbekanntheit,0.0,0.0,0.0
Q8E,2.27,0.968039255402383,1.0,5.0,2.0,44,3.5,0.968039255402383,1.0,5.0,2.0,40,Q8E,Nachhaltige Produktion des Getränks,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8E,Einfluss Nachhaltigkeit,1.23,0.0,0.0
Q8F,2.89,1.1652896635600951,1.0,5.0,2.0,32,4.0,1.1652896635600951,1.0,5.0,2.0,77,Q8F,Herkunftsregion der Marke,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8F,Einfluss Herkunft,1.1099999999999999,0.0,0.0
Q8G,2.68,1.1391224692718511,1.0,5.0,2.0,36,2.68,1.1391224692718511,1.0,5.0,2.0,36,Q8G,Design der Verpackung,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8G,Einfluss Verpackungsdesign,0.0,0.0,0.0
Q8H,2.78,1.073126274023705,1.0,5.0,3.0,34,2.78,1.073126274023705,1.0,5.0,3.0,34,Q8H,Verpackungsgröße/-form,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8H,Einfluss Verpackungsgröße,0.0,0.0,0.0
Q8I,3.2,1.2489995996796797,1.0,5.0,4.0,27,3.2,1.2489995996796797,1.0,5.0,4.0,27,Q8I,Aktionsangebot im Handel,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8I,Einfluss Aktionsangebot,0.0,0.0,0.0
Q8J,2.56,1.134195750300626,1.0,5.0,2.0,36,2.56,1.134195750300626,1.0,5.0,2.0,36,Q8J,Alkoholgehalt des Getränks,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8J,Einfluss Alkoholgehalt,0.0,0.0,0.0
Q8K,3.33,1.0682228231974826,1.0,5.0,3.0,38,3.8,1.0682228231974826,1.0,5.0,3.0,40,Q8K,Empfehlung von Dritten,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8K,Einfluss Empfehlung,0.46999999999999975,0.0,0.0
Q8L,3.12,1.2023310692151308,1.0,5.0,3.0,26,3.12,1.2023310692151308,1.0,5.0,3.0,26,Q8L,Verfügbarkeit im Handel,"['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']",Q8L,Einfluss Verfügbarkeit,0.0,0.0,0.0
Q9A,2.17,1.217004519301387,1.0,5.0,1.0,39,2.17,1.217004519301387,1.0,5.0,1.0,39,Q9A,Alkoholfreies Bier oder alkoholfreie Biermischgetränke,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9A,Präferenz alkoholfrei,0.0,0.0,0.0
Q9B,3.22,1.2375782803523985,1.0,5.0,3.0,29,3.22,1.2375782803523985,1.0,5.0,3.0,29,Q9B,Weizenbier/Weißbier/Berliner Weisse,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9B,Präferenz Weizenbier,0.0,0.0,0.0
Q9C,1.92,1.0925200226998129,1.0,5.0,1.0,49,1.92,1.0925200226998129,1.0,5.0,1.0,49,Q9C,Kölsch,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9C,Präferenz Kölsch,0.0,0.0,0.0
Q9D,1.54,0.8651011501552868,1.0,5.0,1.0,66,1.54,0.8651011501552868,1.0,5.0,1.0,66,Q9D,Altbier (bspw. Diebels),"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9D,Präferenz Altbier,0.0,0.0,0.0
Q9E,1.58,0.9293008124391156,1.0,5.0,1.0,65,1.8,0.9293008124391156,1.0,5.0,1.0,60,Q9E,Pale Ale (IPA etc.),"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9E,Präferenz Pale Ale,0.21999999999999997,0.0,0.0
Q9F,1.53,0.8655056325639944,1.0,5.0,1.0,65,1.53,0.8655056325639944,1.0,5.0,1.0,65,Q9F,Stout (bspw. Guinness),"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9F,Präferenz Stout,0.0,0.0,0.0
Q9G,2.38,1.3249905660041508,1.0,5.0,1.0,39,2.38,1.3249905660041508,1.0,5.0,1.0,39,Q9G,Märzen/Export/Kellerbier/Zwickelbier,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9G,Präferenz Kellerbier,0.0,0.0,0.0
Q9H,3.0,1.32664991614216,1.0,5.0,3.0,29,3.2,1.32664991614216,1.0,5.0,3.0,29,Q9H,Radler/Biermischgetränke (bspw. Cola-Bier),"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9H,Präferenz Radler,0.20000000000000018,0.0,0.0
Q9I,2.67,1.257417989373462,1.0,5.0,3.0,27,4.19,1.257417989373462,1.0,5.0,5.0,75,Q9I,Pils/Pilsner,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9I,Präferenz Pils,1.5200000000000005,0.0,2.0
Q9J,1.59,0.8728688332160796,1.0,5.0,1.0,61,1.59,0.8728688332160796,1.0,5.0,1.0,61,Q9J,Bockbier/Schwarzbier/Rauchbier (bspw. Köstritzer),"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9J,Präferenz Bockbier,0.0,0.0,0.0
Q9K,3.6,1.3490737563232045,1.0,5.0,5.0,34,3.6,1.3490737563232045,1.0,5.0,5.0,34,Q9K,Helles oder Lager (bspw. Augustiner),"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9K,Präferenz Helles,0.0,0.0,0.0
Q9L,1.67,0.9171150418568,1.0,5.0,1.0,57,2.0,0.9171150418568,1.0,5.0,2.0,60,Q9L,Craft Beer,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q9L,Präferenz Craft Beer,0.33000000000000007,0.0,1.0
Q10A,2.14,1.2084701072016637,1.0,5.0,1.0,39,2.14,1.2084701072016637,1.0,5.0,1.0,39,Q10A,Alkoholfreies Bier ohne Alkohol (0% Alkoholgehalt),"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q10A,Präferenz 0 % Bier,0.0,0.0,0.0
Q10B,2.56,1.2191800523302536,1.0,5.0,2.0,29,2.8,1.2191800523302536,1.0,5.0,2.0,29,Q10B,"Alkoholfreies Bier mit sehr geringem Alkoholgehalt (bis max. 0,5% Alkoholgehalt)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q10B,"Präferenz ≤ 0,5 % Bier",0.23999999999999977,0.0,0.0
Q10C,3.8,1.1135528725660044,1.0,5.0,4.0,36,3.8,1.1135528725660044,1.0,5.0,4.0,36,Q10C,"Normales Bier mit Alkohol (> 0,5% Alkoholgehalt)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q10C,Präferenz alkoholhaltig,0.0,0.0,0.0
Q11A,1.9,0.9539392014169455,1.0,4.0,1.0,44,1.9,0.9539392014169455,1.0,4.0,1.0,44,Q11A,rauchiger Geschmack,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q11A,Präferenz rauchig,0.0,0.0,0.0
Q11B,2.88,1.193984924527944,1.0,5.0,4.0,32,2.88,1.193984924527944,1.0,5.0,4.0,32,Q11B,herber-hopfiger Geschmack,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q11B,Präferenz hopfig,0.0,0.0,0.0
Q11C,2.67,1.039759587597056,1.0,5.0,3.0,38,2.67,1.039759587597056,1.0,5.0,3.0,38,Q11C,süßlich-malziger Geschmack,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q11C,Präferenz malzig,0.0,0.0,0.0
Q11D,3.05,1.12583302491977,1.0,5.0,3.0,30,3.3,1.12583302491977,1.0,5.0,3.0,30,Q11D,fruchtiger Geschmack,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q11D,Präferenz fruchtig,0.25,0.0,0.0
Q11E,1.96,0.9372299611087984,1.0,4.0,1.0,39,1.96,0.9372299611087984,1.0,4.0,1.0,39,Q11E,Geschmack nach Kräutern,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q11E,Präferenz kräuterig,0.0,0.0,0.0
Q11F,2.1,0.9219544457292888,1.0,5.0,2.0,34,2.1,0.9219544457292888,1.0,5.0,2.0,34,Q11F,Geschmack nach Gewürzen,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q11F,Präferenz würzig,0.0,0.0,0.0
Q11G,2.18,1.0428806259586951,1.0,5.0,2.0,34,2.18,1.0428806259586951,1.0,5.0,2.0,34,Q11G,bitterer Geschmack,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q11G,Präferenz bitter,0.0,0.0,0.0
Q11H,2.15,0.9420721840708386,1.0,5.0,2.0,47,2.15,0.9420721840708386,1.0,5.0,2.0,47,Q11H,säuerlicher Geschmack,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q11H,Präferenz säuerlich,0.0,0.0,0.0
Q11I,3.03,1.2202868515230345,1.0,5.0,4.0,27,3.03,1.2202868515230345,1.0,5.0,4.0,27,Q11I,Zitrusgeschmack,"['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']",Q11I,Präferenz Zitrus,0.0,0.0,0.0
Q12A,2.53,1.0904586191139949,1.0,5.0,2.0,36,2.53,1.0904586191139949,1.0,5.0,2.0,36,Q12A,"Werbung im Fernsehen, Radio oder Streaming-TV","['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']",Q12A,Werbung TV/Radio,0.0,0.0,0.0
Q12B,2.34,1.0883014288330233,1.0,5.0,2.0,36,2.8,1.0883014288330233,1.0,5.0,2.0,36,Q12B,Werbung auf den Social-Media-Kanälen von Herstellern oder Händlern,"['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']",Q12B,Werbung Social Media,0.45999999999999996,0.0,0.0
Q12C,2.39,1.2401209618420292,1.0,5.0,1.0,30,2.7,1.2401209618420292,1.0,5.0,1.0,30,Q12C,Empfehlungen von Influencern in Social Media,"['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']",Q12C,Influencer-Empfehlung,0.31000000000000005,0.0,0.0
Q12D,1.86,0.8834025130143108,1.0,5.0,2.0,45,1.86,0.8834025130143108,1.0,5.0,2.0,45,Q12D,Werbung in Zeitschriften oder Illustrierten,"['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']",Q12D,Werbung Print,0.0,0.0,0.0
Q12E,2.37,1.0164152694642088,1.0,5.0,2.0,37,2.37,1.0164152694642088,1.0,5.0,2.0,37,Q12E,Außenwerbung auf Plakaten/Displays oder bei Veranstaltungen/Festivals,"['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']",Q12E,Werbung Außenmedien,0.0,0.0,0.0
