variable,question,options
"Q9B","Weizenbier/Weißbier/Berliner Weisse","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q9C","Kölsch","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q9D","Altbier (bspw. Diebels)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q9E","Pale Ale (IPA etc.)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q9F","Stout (bspw. Guinness)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q9G","Märzen/Export/Kellerbier/Zwickelbier","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q9H","Radler/Biermischgetränke (bspw. Cola-Bier)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q9I","Pils/Pilsner","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q9J","Bockbier/Schwarzbier/Rauchbier (bspw. Köstritzer)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q9K","Helles oder Lager (bspw. Augustiner)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q9L","Craft Beer","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q10A","Alkoholfreies Bier ohne Alkohol (0% Alkoholgehalt)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q10B","Alkoholfreies Bier mit sehr geringem Alkoholgehalt (bis max. 0,5% Alkoholgehalt)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q10C","Normales Bier mit Alkohol (> 0,5% Alkoholgehalt)","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q11A","rauchiger Geschmack","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q11B","herber-hopfiger Geschmack","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q11C","süßlich-malziger Geschmack","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q11D","fruchtiger Geschmack","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q11E","Geschmack nach Kräutern","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q11F","Geschmack nach Gewürzen","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q11G","bitterer Geschmack","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q11H","säuerlicher Geschmack","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q11I","Zitrusgeschmack","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
"Q12A","Werbung im Fernsehen, Radio oder Streaming-TV","['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']"
"Q12B","Werbung auf den Social-Media-Kanälen von Herstellern oder Händlern","['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']"
"Q12C","Empfehlungen von Influencern in Social Media","['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']"
"Q12D","Werbung in Zeitschriften oder Illustrierten","['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']"
"Q12E","Außenwerbung auf Plakaten/Displays oder bei Veranstaltungen/Festivals","['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']"
"Q12F","Werbung in Sportstätten oder in Stadien","['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']"
"Q12G","Verkaufsförderung/Angebote vor Ort im Handel","['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']"
"Q12H","E-Mail-Werbung oder Werbung in Apps von Herstellern oder Händlern","['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']"
"Q12I","Verkaufsförderung/Angebote in Hauswurfsendungen","['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']"
"Q13","Welchem Geschlecht ordnen Sie sich zu?","['männlich(1)', 'weiblich(2)', 'divers(3)', 'keine Angabe(-99)']"
"Q14","In welchem Jahr sind Sie geboren?","['nach 2008(1)', '2008(2)', '2007(3)', '2006(4)', '2005(5)', '2004(6)', '2003(7)', '2002(8)', '2001(9)', '2000(10)', '1999(11)', '1998(12)', '1997(13)', '1996(14)', '1995(15)', 'keine Angabe(-99)']"
"Q15","In welchem Bundesland wohnen Sie derzeit?","['Baden-Württemberg(1)', 'Bayern(2)', 'Berlin(3)', 'Brandenburg(4)', 'Bremen(5)', 'Hamburg(6)', 'Hessen(7)', 'Mecklenburg-Vorpommern(8)', 'Niedersachsen(9)', 'Nordrhein-Westfalen(10)', 'Rheinland-Pfalz(11)', 'Saarland(12)', 'Sachsen(13)', 'Sachsen-Anhalt(14)', 'Schleswig-Holstein(15)', 'Thüringen(16)', 'nicht in Deutschland(17)', 'keine Angabe(-99)']"
"Q16","Wie ist Ihre aktuelle Beschäftigungssituation?","['Angestellte/Angestellter(1)', 'Selbständige/Selbständiger(2)', 'Studentin/Student(3)', 'Schülerin/Schüler(4)', 'Beamtin/Beamter(5)', 'Rentnerin/Rentner(6)', 'Hausfrau/Hausmann(7)', 'ohne Beschäftigung(8)', 'in Ausbildung/im Freiwilligendienst(9)', 'keine Angabe(-99)']"
"Q17A","alleinlebend","['0', '1', 'keine Angabe(-99)']"
"Q17B","mit Kind/Kindern lebend","['0', '1', 'keine Angabe(-99)']"
"Q17C","mit Eltern/Elternteil lebend","['0', '1', 'keine Angabe(-99)']"
"Q17D","mit Freund/in bzw. Lebenspartner/in lebend","['0', '1', 'keine Angabe(-99)']"
"Q17E","mit sonstigen Personen lebend (bspw. studentische Wohngemeinschaft)","['0', '1', 'keine Angabe(-99)']"
